"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","14","0.0-0.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","2202","0.0-1.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","2185.3700000210665","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","62628","0.0-2.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","109100","0.0-3.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","left-hand","","","","","","","","","","","","",""
"headphone-check","4","162815","0.0-4.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","1","6","0.3","","","","","","","","","",""
"headphone-backwards-check","5","169109","0.0-5.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","284071","0.0-6.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","297839","0.0-7.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","305445","0.0-8.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","2926"
"echo-presentation","9","311840","0.0-9.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","70","4975"
"echo-presentation","10","316761","0.0-10.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","3529"
"echo-presentation","11","321206","0.0-11.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","2135"
"echo-presentation","12","327639","0.0-12.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","60","4968"
"echo-presentation","13","334814","0.0-13.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","4711"
"echo-presentation","14","339549","0.0-14.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","3383"
"echo-presentation","15","343819","0.0-15.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","2159"
"echo-presentation","16","346653","0.0-16.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1609"
"echo-presentation","17","350213","0.0-17.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","2144"
"echo-presentation","18","353404","0.0-18.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1991"
"echo-presentation","19","356275","0.0-19.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1600"
"echo-presentation","20","359579","0.0-20.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","70","1860"
"echo-presentation","21","362906","0.0-21.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","2110"
"echo-presentation","22","365954","0.0-22.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1632"
"echo-presentation","23","368859","0.0-23.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","70","1583"
"echo-presentation","24","373051","0.0-24.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","2425"
"echo-presentation","25","375594","0.0-25.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1367"
"echo-presentation","26","378362","0.0-26.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","1432"
"echo-presentation","27","382831","0.0-27.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","2286"
"block-bookend","28","386491","0.0-28.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","29","396626","0.0-29.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","30","400853","0.0-30.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","70","2447"
"echo-presentation","31","404080","0.0-31.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","70","1559"
"echo-presentation","32","406833","0.0-32.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","70","1575"
"echo-presentation","33","409977","0.0-33.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","1870"
"echo-presentation","34","412769","0.0-34.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1543"
"echo-presentation","35","418105","0.0-35.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","4152"
"echo-presentation","36","422472","0.0-36.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","3247"
"echo-presentation","37","425831","0.0-37.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","2271"
"echo-presentation","38","431329","0.0-38.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","70","4097"
"echo-presentation","39","435231","0.0-39.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","2742"
"echo-presentation","40","440415","0.0-40.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","3455"
"echo-presentation","41","442854","0.0-41.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1318"
"echo-presentation","42","445760","0.0-42.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1616"
"echo-presentation","43","448469","0.0-43.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1447"
"echo-presentation","44","450901","0.0-44.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1351"
"echo-presentation","45","454022","0.0-45.0","5e28e8730fd86a0a19e084cd","5fef55e628823a0076ec12ee","601f49bf4687cc497600f38f","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.104 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","80","1886"
