"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"pavlovia","0","3","0.0-0.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","1468","0.0-1.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","1463.9050000114366","<div><h1>Welcome!</h1><p>Press any key to continue.</p></div>","32","","","","","","","","","","","","","",""
"consent-form","2","5907","0.0-2.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"keyset-select","3","8785","0.0-3.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","right-hand","","","","","","","","","","","","",""
"headphone-check","4","48367","0.0-4.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","6","0.7","","","","","","","","","",""
"headphone-backwards-check","5","56240","0.0-5.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","0","","","","","","","","","","","",""
"training","6","115522","0.0-6.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"block-bookend","7","125986","0.0-7.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","","","","","","","","","",""
"echo-presentation","8","132617","0.0-8.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","70","3025"
"echo-presentation","9","136522","0.0-9.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1851"
"echo-presentation","10","141109","0.0-10.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","70","2748"
"echo-presentation","11","147876","0.0-11.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a80.wav","spherical","20","20","full","matched","80","70","5478"
"echo-presentation","12","153374","0.0-12.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","4326"
"echo-presentation","13","157659","0.0-13.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","3113"
"echo-presentation","14","160253","0.0-14.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1608"
"echo-presentation","15","162799","0.0-15.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","80","1684"
"echo-presentation","16","166796","0.0-16.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","2828"
"echo-presentation","17","170244","0.0-17.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","70","2591"
"echo-presentation","18","172801","0.0-18.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","1490"
"echo-presentation","19","177300","0.0-19.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","80","3641"
"echo-presentation","20","180288","0.0-20.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a40.wav","spherical","20","20","full","matched","40","70","2098"
"echo-presentation","21","199169","0.0-21.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a70.wav","spherical","20","20","full","matched","70","70","8733"
"echo-presentation","22","202684","0.0-22.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1780"
"echo-presentation","23","204936","0.0-23.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a60.wav","spherical","20","20","full","matched","60","80","1313"
"echo-presentation","24","208376","0.0-24.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","2574"
"echo-presentation","25","210598","0.0-25.0","5ff2473e351a26264ff42e0e","5fef55e628823a0076ec12ee","601f4b0fc0e6634ab7a8d5f4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1","","","","","","","","40,50,60,70,80","media/audio/stims/spherical_300cm_s20_c20_cd-full_matched_a50.wav","spherical","20","20","full","matched","50","80","1347"
